Dimension;Algorithm;Cost;Time[ms]
10;BB_DFS_REC;149;0.341
10;BB_LC;149;8.181
10;BB_LC;149;1.821
10;BB_BFS;188;229.537
10;BB_BFS;188;21.895
10;BB_DFS_REC;188;3.381
10;BB_DFS_REC;188;2.560
10;BB_LC;188;358.026
10;BB_LC;188;327.319
10;BB_BFS;113;229.833
10;BB_BFS;113;0.817
10;BB_DFS_REC;113;0.836
10;BB_DFS_REC;113;0.624
10;BB_LC;113;7.596
10;BB_LC;113;3.450
10;BB_BFS;167;224.537
10;BB_BFS;167;9.362
10;BB_DFS_REC;167;2.761
10;BB_DFS_REC;167;2.755
10;BB_LC;167;37.649
10;BB_LC;167;30.877
11;BB_BFS;107;2386.454
11;BB_BFS;107;1.217
11;BB_DFS_REC;107;2.200
11;BB_DFS_REC;107;1.214
11;BB_LC;107;5.331
11;BB_LC;107;2.940
11;BB_BFS;113;2427.118
11;BB_BFS;113;0.431
11;BB_DFS_REC;113;0.982
11;BB_DFS_REC;113;0.338
11;BB_LC;113;4.944
11;BB_LC;113;1.184
11;BB_BFS;184;2429.955
11;BB_BFS;184;1.598
11;BB_DFS_REC;184;5.017
11;BB_DFS_REC;184;1.560
11;BB_LC;184;213.942
11;BB_LC;184;13.399
11;BB_BFS;143;2425.171
11;BB_BFS;143;5.937
11;BB_DFS_REC;143;1.987
11;BB_DFS_REC;143;2.462
11;BB_LC;143;77.300
11;BB_LC;143;49.909
11;BB_BFS;148;2405.301
11;BB_BFS;148;11.367
11;BB_DFS_REC;148;5.071
11;BB_DFS_REC;148;4.567
11;BB_LC;148;912.298
11;BB_LC;148;362.831
12;BB_BFS;136;36207.487
12;BB_BFS;136;1.135
12;BB_DFS_REC;136;5.012
12;BB_DFS_REC;136;1.286
12;BB_LC;136;131.728
12;BB_LC;136;7.198
12;BB_BFS;177;35480.905
12;BB_BFS;177;48.747
12;BB_DFS_REC;177;16.426
12;BB_DFS_REC;177;15.831
12;BB_LC;177;3801.775
12;BB_LC;177;2629.495
12;BB_BFS;150;35335.151
12;BB_BFS;150;83.997
12;BB_DFS_REC;150;21.186
12;BB_DFS_REC;150;19.067
12;BB_LC;150;4114.081
12;BB_LC;150;3632.694
12;BB_BFS;177;35710.510
12;BB_BFS;177;44.505
12;BB_DFS_REC;177;11.371
12;BB_DFS_REC;177;7.936
12;BB_LC;177;5365.514
12;BB_LC;177;2840.694
12;BB_BFS;127;35744.811
12;BB_BFS;127;2.410
12;BB_DFS_REC;127;5.202
12;BB_DFS_REC;127;2.094
12;BB_LC;127;357.226
12;BB_LC;127;27.000
7;BB_BFS;148;0.342
7;BB_BFS;148;0.350
7;BB_DFS_REC;148;0.069
7;BB_DFS_REC;148;0.068
7;BB_LC;148;0.139
7;BB_LC;148;0.139
7;BB_BFS;137;0.351
7;BB_BFS;137;0.091
7;BB_DFS_REC;137;0.062
7;BB_DFS_REC;137;0.069
7;BB_LC;137;0.135
7;BB_LC;137;0.139
7;BB_BFS;177;0.346
7;BB_BFS;177;0.054
7;BB_DFS_REC;177;0.048
7;BB_DFS_REC;177;0.051
7;BB_LC;177;0.146
7;BB_LC;177;0.067
7;BB_BFS;186;0.348
7;BB_BFS;186;0.074
7;BB_DFS_REC;186;0.077
7;BB_DFS_REC;186;0.059
7;BB_LC;186;0.125
7;BB_LC;186;0.105
7;BB_BFS;175;0.354
7;BB_BFS;175;0.067
7;BB_DFS_REC;175;0.047
7;BB_DFS_REC;175;0.054
7;BB_LC;175;0.106
7;BB_LC;175;0.094
8;BB_BFS;239;2.293
8;BB_BFS;239;0.719
8;BB_DFS_REC;239;0.356
8;BB_DFS_REC;239;0.551
8;BB_LC;239;3.098
8;BB_LC;239;2.577
8;BB_BFS;190;2.455
8;BB_BFS;190;0.536
8;BB_DFS_REC;190;0.872
8;BB_DFS_REC;190;0.267
8;BB_LC;190;2.292
8;BB_LC;190;1.748
8;BB_BFS;172;2.888
8;BB_BFS;172;0.421
8;BB_DFS_REC;172;0.315
8;BB_DFS_REC;172;0.257
8;BB_LC;172;2.520
8;BB_LC;172;1.223
8;BB_BFS;248;2.306
8;BB_BFS;248;0.271
8;BB_DFS_REC;248;0.309
8;BB_DFS_REC;248;0.201
8;BB_LC;248;1.128
8;BB_LC;248;0.671
8;BB_BFS;257;2.732
8;BB_BFS;257;0.652
8;BB_DFS_REC;257;0.763
8;BB_DFS_REC;257;0.856
8;BB_LC;257;2.739
8;BB_LC;257;2.470
9;BB_BFS;216;28.227
9;BB_BFS;216;1.286
9;BB_DFS_REC;216;0.822
9;BB_DFS_REC;216;1.307
9;BB_LC;216;6.095
9;BB_LC;216;5.353
9;BB_BFS;188;23.877
9;BB_BFS;188;2.283
9;BB_DFS_REC;188;1.134
9;BB_DFS_REC;188;1.310
9;BB_LC;188;15.888
9;BB_LC;188;14.256
9;BB_BFS;207;22.661
9;BB_BFS;207;1.097
9;BB_DFS_REC;207;1.165
9;BB_DFS_REC;207;0.682
9;BB_LC;207;12.661
9;BB_LC;207;5.878
9;BB_BFS;217;22.594
9;BB_BFS;217;0.823
9;BB_DFS_REC;217;0.963
9;BB_DFS_REC;217;0.644
9;BB_LC;217;21.195
9;BB_LC;217;4.481
9;BB_BFS;193;25.405
9;BB_BFS;193;3.656
9;BB_DFS_REC;193;1.499
9;BB_DFS_REC;193;1.502
9;BB_LC;193;13.714
9;BB_LC;193;14.064
10;BB_BFS;185;213.139
10;BB_BFS;185;1.526
10;BB_DFS_REC;185;1.406
10;BB_DFS_REC;185;1.241
10;BB_LC;185;39.233
10;BB_LC;185;16.197
10;BB_BFS;217;219.580
10;BB_BFS;217;3.254
10;BB_DFS_REC;217;2.041
10;BB_DFS_REC;217;1.474
10;BB_LC;217;86.070
10;BB_LC;217;41.212
10;BB_BFS;181;217.045
10;BB_BFS;181;6.136
10;BB_DFS_REC;181;2.368
10;BB_DFS_REC;181;2.146
10;BB_LC;181;58.318
10;BB_LC;181;54.961
10;BB_BFS;219;219.716
10;BB_BFS;219;9.416
10;BB_DFS_REC;219;3.168
10;BB_DFS_REC;219;2.940
10;BB_LC;219;155.532
10;BB_LC;219;123.985
10;BB_BFS;156;219.879
10;BB_BFS;156;2.376
10;BB_DFS_REC;156;1.509
10;BB_DFS_REC;156;1.456
10;BB_LC;156;44.831
10;BB_LC;156;21.185
11;BB_BFS;204;2319.959
11;BB_BFS;204;12.134
11;BB_DFS_REC;204;12.705
11;BB_DFS_REC;204;8.588
11;BB_LC;204;3723.314
11;BB_LC;204;881.976
11;BB_BFS;214;2405.311
11;BB_BFS;214;6.990
11;BB_DFS_REC;214;14.791
11;BB_DFS_REC;214;5.977
11;BB_LC;214;1639.750
11;BB_LC;214;138.106
11;BB_BFS;233;2165.882
11;BB_BFS;233;15.072
11;BB_DFS_REC;233;20.782
11;BB_DFS_REC;233;11.737
11;BB_LC;233;4566.259
11;BB_LC;233;1560.833
11;BB_BFS;261;2282.032
11;BB_BFS;261;71.797
11;BB_DFS_REC;261;25.452
11;BB_DFS_REC;261;23.932
11;BB_LC;261;9789.353
11;BB_LC;261;9170.101
